Index,Date,Year,Month,"Month &
Date",# Of Covid Samples Received,# Of Covid Samples Billed,# Of Covid Samples Exception,# Of Covid Samples Client Bill,# Of Covid Samples Pending,# of Samples Received,# of samples Billed,# of Samples Billed from Previous Month,AEL/Client Bill,# of Exceptions,# of samples pending,Total Charge Entered,# of Claims Submitted,# of Claims Accepted,# of Claims Rejected,First Pass Acceptance Rate,Sum of Payment Received,Sum of Payment Posted,Sum of Payment Pending,Sum of Adjustment Posted,Payments Received in the Bank,Total Credit Cards Processed amount,Lockbox Deposit Amount,# of Denials Received,# of Denials Worked,# of Denials Pending,Denial %,# of Correspondence Received,# of Correspondence Worked,# of Correspondence Pending,Overall Samples Billed
18,2021-08-31,2021,August,August'21,21458,17798,117,3929,-386,4135,1572,0,655,53,1855,"$56,65,882.33",20949,20524,425,97.97%,"$12,81,750.83","$11,78,804.23","$1,02,946.60","$26,83,877.81",$0.00,$0.00,$0.00,621,621,0,3%,2644,2644,0,10317
19,2021-09-30,2021,September,September'21,18573,17502,36,1480,-445,4762,3829,0,748,249,-64,"$61,78,297.05",21838,20838,226,95.42%,"$20,29,354.35","$20,22,866.35","$6,488.00","$37,13,058.57",$0.00,$0.00,$0.00,1486,1486,0,7%,171,171,0,11294
20,2021-10-31,2021,October,October'21,12173,11989,73,988,-877,5227,2574,0,899,237,1517,"$38,95,507.03",14765,14135,222,95.73%,"$20,85,614.18","$20,60,922.52","$24,691.66","$32,54,933.02",$0.00,$0.00,$0.00,1275,1275,0,9%,184,0,184,7277
21,2021-11-30,2021,November,November'21,12064,8899,40,1190,1935,5147,3144,0,1587,124,292,"$22,99,759.27",12592,12477,103,99.09%,"$13,53,574.13","$13,23,740.61","$29,833.52","$48,06,668.62",$0.00,$0.00,$0.00,432,0,432,3%,0,0,0,4913
22,2021-12-31,2021,December,December'21,19347,12916,164,1895,4372,5004,4569,0,1352,135,-1052,"$26,64,486.14",17927,16673,313,93.00%,"$11,75,106.71","$11,64,928.09","$10,178.62",$0.00,$0.00,$0.00,$0.00,538,0,538,3%,0,0,0,8584
23,2022-01-31,2022,January,January'22,60678,23324,326,26796,10232,4067,1792,0,1439,63,773,"$41,27,225.84",9499,0,452,0.00%,"$14,05,101.32","$13,90,019.03","$15,082.29",$0.00,$0.00,$0.00,$0.00,1233,0,1233,0.00%,1192,0,1192,24613
24,2022-02-28,2022,February,February'22,24300,26903,74,4427,-7104,3944,2054,0,2069,41,-220,"$48,58,611.21",28957,28732,225,99.22%,"$19,75,819.23","$19,69,475.62","$6,343.61",$0.00,$0.00,$0.00,$0.00,884,0,884,3.08%,371,0,371,10706
25,2022-03-31,2022,March,March'22,12191,17194,164,3706,-8873,5233,4414,0,2918,23,-2122,"$32,77,667.97",21608,21608,0,100.00%,"$27,12,169.31","$26,69,811.48","$42,357.83",$0.00,$0.00,$0.00,$0.00,1123,0,1123,5.20%,0,0,0,0
26,2022-04-30,2022,April,April'22,4629,7690,16,708,-3785,4799,2158,0,1852,15,774,"$13,75,751.36",11710,11193,517,95.58%,"$12,70,986.71","$11,83,710.58","$87,276.13",$0.00,$0.00,$0.00,$0.00,758,542,216,6.77%,440,382,440,0
27,2022-05-31,2022,May,May'22,4944,3915,14,1073,-58,3891,4032,0,1501,22,-1664,"$10,74,554.23",8196,8118,78,99.05%,"$9,36,433.34","$9,31,067.89","$5,365.45","$3,41,098.19",$0.00,$0.00,$0.00,650,496,154,8.01%,182,0,182,3684
28,2022-06-30,2022,June,June'22,8460,7669,23,1300,-532,3847,3727,0,719,14,-613,"$17,20,205.16",11401,10905,496,95.65%,"$9,25,267.13","$9,25,233.77",$33.36,$0.00,$0.00,$0.00,$0.00,3607,2798,809,33.08%,27,27,0,4436
29,2022-07-31,2022,July,July'22,8904,7230,19,921,734,3649,2886,0,1052,20,-309,"$14,94,998.85",10029,9200,829,91.73%,"$7,98,911.64","$7,98,911.64",$0.00,$0.00,$0.00,$0.00,$0.00,3143,2273,870,34.16%,37,9,28,3665
30,2022-08-31,2022,August,August'22,6804,7238,18,365,-817,3928,2764,0,1264,19,-119,"$16,21,967.24",2071,0,0,0.00%,"$9,06,248.89","$9,06,248.89",$0.00,$0.00,$0.00,$0.00,$0.00,2644,1942,702,0.00%,46,0,46,4062
31,2022-09-30,2022,September,September'22,7027,6469,29,415,114,3666,2197,0,1102,44,323,"$13,55,674.50",9161,8906,255,97.22%,"$7,29,708.17","$6,54,026.30","$75,681.87",$0.00,"$7,27,216.85","$3,834.45","$7,913.77",2836,2217,619,0.00%,46,0,46,2126
32,2022-10-31,2022,October,October'22,4902,5281,18,185,-582,2355,2283,0,563,72,-563,"$19,60,624.03",7030,6814,216,96.93%,"$7,62,910.23","$7,38,557.02","$24,353.21","$4,91,158.16","$7,81,414.60","$2,556.05","$5,665.17",2561,1896,665,0.00%,0,0,0,206
33,2022-11-30,2022,November,November'22,3950,3232,26,189,503,1264,2205,0,179,54,-1174,"$8,06,504.93",5919,5787,132,97.77%,"$6,69,967.37","$6,69,887.05",$80.32,$0.00,"$6,50,854.34","$7,057.15","$15,835.46",3203,2774,429,0.00%,0,0,0,159
34,2022-12-31,2022,December,December'22,3886,3135,19,197,535,1663,1497,0,354,45,-233,"$7,01,079.50",4658,4614,44,99.06%,"$5,94,375.55","$5,94,261.24",$114.31,"$5,42,388.06","$5,64,778.65","$13,505.12","$20,096.01",3997,3482,515,0.00%,0,0,0,120
35,2023-01-31,2023,January,January'23,3445,6147,17,89,-2808,1297,1461,0,368,31,-563,"$11,24,645.10",7030,6979,51,99.27%,"$5,26,030.29","$5,25,477.88",$552.41,$0.00,"$5,24,679.06","$6,751.74","$16,167.66",2106,1628,478,30.18%,0,0,0,0
36,2023-02-28,2023,February,February'23,1576,1757,4,162,-381,1252,1917,0,308,79,-1124,"$5,83,215.40",3426,3392,34,99.01%,"$4,96,948.69","$4,93,879.92","$3,068.77","$3,38,636.81","$4,99,806.14","$4,657.34","$13,288.91",1632,947,685,0.00%,0,0,0,0
37,2023-03-31,2023,March,March'23,1949,1886,3,137,-77,1669,1456,0,545,18,-353,"$5,58,716.47",3321,3316,5,99.85%,"$4,20,473.55","$4,11,563.55","$8,910.00","$2,98,796.97","$5,23,039.20","$3,453.77","$10,041.63",1305,603,38,0.00%,0,0,0,0
38,2023-04-30,2023,April,April'23,1698,1558,28,178,-85,1483,1144,0,227,76,-7,"$5,21,241.11",2794,2786,8,99.71%,"$2,38,121.51","$2,31,616.55","$6,5,04.96","$147,654.02","$228,312.15","$1,919.45","$7,089.99",1279,835,465,45.91%,0,0,0,0
